---,ollie,73791
ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
73864,0.102,-0.000,-0.994,0.671,0.671,-0.244
73894,0.102,-0.017,-0.993,0.610,3.113,-0.122
73922,0.101,-0.019,-0.993,0.610,3.235,0.000
73948,0.099,-0.005,-0.992,0.549,2.563,0.061
73976,0.099,-0.004,-0.990,0.610,0.854,0.183
74005,0.096,0.011,-0.991,0.549,-0.671,0.183
74035,0.097,0.016,-0.992,0.488,-2.136,0.061
74064,0.099,0.020,-0.992,0.488,-3.601,0.000
74091,0.100,0.019,-0.992,0.488,-4.517,-0.061
74121,0.104,0.008,-0.994,0.305,-5.798,-0.061
74149,0.112,0.000,-0.991,-0.366,-9.216,-0.061
74205,0.124,0.008,-0.992,0.977,-16.846,0.000
74233,0.130,0.025,-0.991,0.793,-15.320,-0.244
74263,0.137,0.012,-0.987,1.038,-12.390,-0.366
74291,0.139,-0.003,-0.990,1.221,-9.277,-0.427
74318,0.146,-0.010,-0.993,0.793,-2.136,-0.427
74345,0.147,-0.013,-0.989,0.549,1.953,-0.244
74372,0.146,-0.022,-0.988,0.549,2.441,-0.122
74400,0.144,-0.010,-0.991,0.183,1.953,0.244
74429,0.141,0.007,-0.982,0.122,-0.366,0.244
74456,0.143,0.011,-0.986,0.549,-1.953,0.183
74484,0.143,0.016,-0.985,0.671,-2.258,0.061
74535,0.145,0.009,-0.988,0.488,-2.319,-0.183
74565,0.147,0.012,-0.985,0.671,-2.441,-0.183
74591,0.147,0.004,-0.989,0.854,-1.709,-0.305
74620,0.149,0.004,-0.986,0.610,-0.488,-0.183
74649,0.150,-0.005,-0.985,0.916,0.366,-0.183
74678,0.150,-0.007,-0.988,0.977,2.563,-0.122
74707,0.147,-0.009,-0.989,0.610,4.395,-0.061
74736,0.145,-0.015,-0.985,0.488,4.211,0.183
74765,0.142,-0.004,-0.988,0.366,2.747,0.305
74791,0.143,0.006,-0.985,0.183,0.549,0.366
74818,0.143,0.011,-0.986,0.122,-2.319,0.366
74846,0.143,0.023,-0.985,0.183,-4.211,0.244
74903,0.146,0.034,-0.986,0.244,-5.493,-0.183
74933,0.152,0.023,-0.986,0.793,-4.700,-0.366
74963,0.156,0.011,-0.989,0.610,-2.136,-0.549
74993,0.154,0.001,-0.986,0.671,-0.793,-0.610
75023,0.157,-0.009,-0.986,0.793,0.793,-0.427
75053,0.154,-0.007,-0.988,0.793,2.991,-0.366
75083,0.154,-0.025,-0.987,0.427,2.502,-0.183
75113,0.153,-0.012,-0.985,0.488,1.099,0.244
75143,0.151,0.009,-0.985,0.427,0.000,0.244
75173,0.151,0.011,-0.983,0.366,-2.319,0.183
75201,0.152,0.012,-0.986,0.549,-4.150,0.183
75251,0.155,0.008,-0.984,0.488,-8.057,0.000
75280,0.165,0.020,-0.987,0.732,-9.155,0.000
75309,0.172,0.023,-0.980,0.793,-8.423,-0.183
75337,0.172,0.009,-0.983,0.793,-5.981,-0.366
75366,0.172,0.004,-0.984,0.549,-3.601,-0.305
75469,0.179,0.003,-0.981,0.671,-0.854,0.061
75519,0.176,0.000,-0.983,0.366,1.099,0.061
75548,0.177,0.001,-0.981,0.671,0.366,0.061
75576,0.179,-0.007,-0.985,0.916,0.671,0.122
75606,0.175,0.006,-0.983,0.244,0.732,0.183
75635,0.177,0.000,-0.980,0.793,0.671,0.244
75662,0.176,0.000,-0.988,0.732,1.404,0.305
75714,0.175,-0.012,-0.979,0.427,-0.244,0.427
75743,0.176,-0.005,-0.983,0.732,-0.061,0.671
75772,0.173,0.009,-0.985,0.671,3.479,0.610
75801,0.170,0.014,-0.985,0.610,6.470,0.610
75828,0.166,0.018,-0.989,-0.427,9.277,0.305
75856,0.160,0.023,-0.986,-0.610,13.794,0.061
75884,0.149,0.026,-0.987,-0.244,17.761,-0.061
75913,0.149,-0.013,-0.988,-0.061,19.348,0.122
75940,0.138,-0.030,-0.982,0.488,17.761,0.366
75966,0.134,-0.094,-0.979,1.160,7.874,0.916
75993,0.143,-0.109,-0.983,1.404,-6.409,1.953
76045,0.151,-0.083,-0.971,0.061,-20.325,3.052
76076,0.163,-0.081,-1.005,0.610,-15.869,3.723
76104,0.164,-0.067,-0.993,-2.808,-5.859,4.822
76133,0.165,-0.058,-0.978,-3.479,-4.333,5.249
76162,0.154,0.020,-0.984,-0.977,-6.531,6.165
76191,0.152,0.222,-1.005,-2.991,-6.531,5.066
76221,0.117,0.450,-0.994,-8.057,-0.122,1.038
76249,0.132,0.408,-0.982,-6.287,6.531,-3.113
76278,0.137,0.165,-1.015,0.427,40.222,-5.737
76307,0.127,0.108,-1.009,3.235,84.656,-6.348
76336,0.084,0.120,-0.973,1.831,96.436,-5.371
76365,0.044,-0.074,-0.974,2.869,46.204,-3.601
76421,-0.563,0.167,-0.897,-3.174,-10.620,-8.545
76450,0.343,-0.100,-0.673,-3.479,-67.261,-15.808
76480,0.219,-0.241,-0.994,13.245,-48.523,-2.380
76509,0.013,0.585,-0.640,4.944,-84.717,-2.502
76538,0.158,-0.234,-1.050,4.089,-66.772,-5.493
76567,0.174,0.009,-1.000,2.869,-50.842,-4.150
76596,0.246,-0.296,-0.993,4.700,8.606,-4.822
76626,0.185,-0.213,-1.008,1.160,39.429,-0.977
76655,0.190,-0.266,-0.978,0.244,44.495,2.258
76683,0.121,-0.071,-0.972,-0.671,25.513,3.601
76711,0.127,0.176,-1.013,-3.235,-7.568,2.991
76764,0.117,0.222,-0.963,-5.554,9.094,-1.892
76793,0.129,0.067,-0.975,1.282,7.935,-2.136
76823,0.126,0.016,-0.978,4.761,5.920,-1.404
76853,0.138,-0.130,-1.003,2.686,-0.732,-1.465
76883,0.136,-0.126,-0.993,-2.136,-3.479,-1.038
76914,0.134,-0.053,-0.973,-0.366,-6.592,-0.305
76944,0.137,-0.047,-0.988,3.296,-7.080,0.793
76972,0.140,-0.021,-1.006,1.648,-0.061,0.916
77001,0.137,-0.033,-0.983,0.000,-2.197,0.732
77097,0.192,-0.529,-0.995,-0.854,-1.160,7.263
77155,0.174,-0.306,-1.020,-13.184,-24.902,16.357
77213,0.039,1.630,-1.061,-17.273,6.042,4.333
77243,-0.026,1.822,-1.386,-56.152,51.758,4.089
77274,0.304,1.840,-2.081,-227.722,141.418,-28.564
77304,0.347,-1.256,-1.016,-518.005,310.974,38.025
77333,0.086,-2.299,-0.010,-538.818,-88.806,102.234
77363,0.220,0.401,0.288,-195.679,-167.725,30.029
77393,0.043,-0.785,-0.471,-209.412,-77.087,18.066
77423,0.114,-1.588,-0.572,-61.096,4.578,9.216
77452,-0.068,0.122,0.063,140.137,-87.769,10.071
77486,-0.219,0.924,0.010,268.799,99.976,37.537
77537,-0.232,-0.702,1.737,479.492,198.547,-16.296
77565,-0.330,-0.005,1.387,382.629,-144.348,-26.611
77595,-1.430,-0.236,2.858,318.115,351.501,-34.668
77624,0.264,-0.437,1.232,215.454,437.622,-45.898
77658,-0.001,0.048,0.221,58.411,132.507,19.958
77686,-0.108,0.243,-0.180,-257.385,-614.990,-66.162
77715,0.316,0.094,0.667,-0.977,268.494,-26.062
77743,-0.200,-0.156,-0.188,-27.344,-178.284,-30.457
77773,-0.311,0.321,-0.684,-2.930,135.803,-7.812
77804,-0.273,0.226,-0.346,-8.972,-47.241,-16.663
77833,-0.190,0.230,-1.124,1.221,-43.640,-10.010
77883,-0.174,0.775,-0.962,-2.869,19.165,0.061
77917,-0.213,0.326,-0.989,4.883,7.263,8.301
77940,-0.310,-0.342,-0.931,5.127,-1.404,6.714
77972,-0.332,-0.486,-0.907,4.150,-15.503,3.418
78000,-0.300,-0.357,-0.932,2.441,-47.180,-1.465
78029,-0.202,-0.033,-1.016,-0.366,-34.546,-2.808
78058,-0.193,0.231,-0.984,-2.075,27.222,-3.845
78087,-0.215,0.204,-0.957,0.427,1.465,-0.366
78112,-0.219,0.108,-0.973,1.831,-6.348,1.465
78141,-0.232,0.029,-0.974,1.953,-6.897,3.174
78167,-0.222,-0.039,-0.991,0.427,24.841,2.502
78222,-0.275,-0.136,-0.941,1.160,5.371,1.831
78251,-0.274,-0.163,-0.938,1.770,-14.587,0.122
78280,-0.253,-0.063,-0.956,2.319,-38.086,-0.122
78309,-0.216,-0.116,-1.005,-0.671,-0.122,-3.174
78339,-0.248,-0.089,-0.937,-0.732,7.996,-3.113
78367,-0.228,-0.099,-0.966,0.671,-23.071,-3.845
78402,-0.213,-0.085,-0.954,0.793,-41.687,-3.418
78431,-0.175,-0.078,-0.990,-0.122,-48.035,-6.165
78459,-0.181,-0.188,-0.998,-2.380,16.296,-6.348
78487,-0.193,-0.154,-0.974,-2.441,31.250,-7.263
78516,-0.171,0.211,-0.977,-0.549,7.874,-6.409
78567,-0.162,0.285,-0.979,0.244,5.920,-0.122
78596,-0.152,0.393,-0.986,1.099,-2.625,3.113
78626,-0.136,0.393,-1.009,1.465,-6.836,6.042
78656,-0.184,0.213,-0.927,0.305,-3.174,7.141
78686,-0.165,-0.013,-0.907,6.836,7.019,12.451
78790,-0.233,-0.355,-0.961,3.662,-10.071,6.592
78846,-0.174,-0.178,-0.988,2.136,-25.146,2.197
78873,-0.163,-0.217,-0.999,0.610,-9.338,1.160
78902,-0.169,-0.144,-0.980,-1.221,11.475,-0.366
78931,-0.166,-0.108,-0.986,-0.977,24.170,-1.221
78960,-0.176,-0.072,-0.991,-2.136,39.001,-2.197
79012,-0.217,0.000,-0.965,-2.319,33.020,-3.052
79040,-0.246,-0.053,-0.960,-2.686,32.349,-2.991
79075,-0.239,0.089,-0.963,-1.892,20.081,-3.906
79103,-0.223,0.181,-0.977,-1.099,17.456,-2.197
79132,-0.244,0.124,-0.963,-0.366,16.968,0.183
79161,-0.261,0.014,-0.962,0.000,12.390,0.977
79184,-0.278,-0.039,-0.979,0.854,11.597,1.099
79216,-0.277,-0.115,-1.024,2.197,20.081,0.977
79245,-0.293,-0.040,-0.954,4.456,22.156,0.793
79273,-0.299,-0.005,-0.951,4.089,18.616,0.671
79301,-0.318,-0.054,-0.941,0.305,22.644,-0.916
79350,-0.328,0.005,-0.940,-0.305,18.677,-0.977
79375,-0.355,-0.083,-0.896,0.793,14.343,-0.793
79405,-0.337,0.004,-0.934,0.488,13.550,-1.099
79435,-0.343,-0.009,-0.938,1.831,9.827,-0.671
79465,-0.360,-0.040,-0.914,-0.305,10.864,-1.648
79495,-0.358,0.020,-0.912,0.000,10.559,-1.526
79525,-0.380,-0.023,-0.853,-0.488,0.793,-1.465
79555,-0.348,0.004,-0.953,0.244,-4.456,-1.099
79586,-0.363,-0.051,-0.937,1.099,0.488,-1.099
79614,-0.361,-0.014,-0.921,-1.099,1.221,-2.197
79639,-0.350,0.029,-0.957,0.366,2.930,-1.404
79694,-0.343,0.042,-0.983,-0.488,8.057,-1.587
79720,-0.363,0.004,-0.947,0.549,14.954,-0.671
79749,-0.383,-0.022,-0.897,2.686,13.916,0.183
79778,-0.382,-0.015,-0.912,1.770,11.536,-0.488
79805,-0.398,0.017,-0.847,3.113,4.761,0.244
79834,-0.431,-0.030,-0.742,2.563,-15.198,0.244
79863,-0.375,-0.030,-0.911,-1.343,-22.766,-1.465
79890,-0.391,-0.040,-0.823,0.061,-31.738,-1.160
79923,-0.338,-0.142,-1.009,-4.639,-30.762,-3.723
79952,-0.338,-0.041,-0.922,-4.089,-27.222,-4.395
79979,-0.330,-0.086,-0.953,-8.850,-30.151,-7.263
80030,-0.309,0.047,-0.933,-3.601,-9.094,-5.432
80059,-0.282,0.084,-0.998,-2.441,-4.700,-3.906
80088,-0.295,0.090,-0.927,-0.977,-7.996,-2.197
80117,-0.281,0.032,-0.979,-0.732,-16.846,-1.465
80146,-0.290,-0.015,-0.952,1.526,-15.564,-0.427
80175,-0.292,-0.060,-0.936,2.686,-30.579,-0.183
80210,-0.250,-0.033,-0.943,4.517,-60.425,-0.427
80239,-0.226,-0.088,-0.929,5.005,-128.540,-1.953
80268,-0.136,-0.127,-1.000,3.967,-145.569,1.404
80296,-0.069,-0.095,-1.029,2.563,-90.759,0.488
80346,-0.015,-0.006,-0.983,1.221,-60.974,-0.732
80452,0.067,0.089,-0.994,1.160,-47.302,0.122
80503,0.113,0.070,-0.998,0.549,-30.212,-0.732
80533,0.118,0.045,-1.007,0.610,1.770,-0.977
80561,0.112,0.033,-1.004,0.183,29.846,-1.587
80590,0.091,0.021,-0.993,0.061,35.645,-1.648
80619,0.084,-0.066,-0.977,0.244,20.813,-1.282
80646,0.084,-0.118,-0.986,0.793,0.793,-0.610
80675,0.091,-0.090,-0.982,0.977,-20.386,0.305
80703,0.101,-0.092,-0.991,1.282,-29.785,0.732
80731,0.111,-0.057,-0.999,0.305,-24.292,0.977
80758,0.121,0.026,-0.989,0.000,-21.240,1.282
80813,0.136,0.054,-0.992,0.427,-11.047,1.038
80843,0.135,0.093,-0.994,0.549,3.296,0.305
80873,0.128,0.060,-1.001,0.427,24.048,-0.732
80903,0.112,0.057,-1.003,0.000,45.227,-1.404
80933,0.092,0.034,-0.996,-0.549,57.556,-1.465
80963,0.065,-0.033,-0.997,-0.793,62.256,-1.282
80994,0.027,-0.055,-0.986,-0.488,53.162,-0.488
81024,-0.001,-0.038,-0.992,0.061,43.030,-0.671
81054,-0.021,-0.054,-0.992,-0.183,34.241,-0.488
81083,-0.038,-0.065,-0.987,0.366,14.465,-0.183
81112,-0.038,-0.057,-0.991,0.549,4.944,-0.183
81167,-0.033,-0.018,-0.997,1.099,-11.414,0.183
81196,-0.031,-0.001,-1.017,0.122,4.761,-0.122
81223,-0.039,0.019,-0.994,-0.793,20.996,-0.366
81251,-0.049,0.031,-0.984,0.061,13.000,-0.244
81279,-0.052,0.030,-0.990,0.610,2.502,0.000
81306,-0.049,0.042,-0.991,1.221,-6.226,-0.061
81331,-0.049,0.023,-0.999,0.977,-3.113,-0.061
81358,-0.052,0.008,-1.007,-0.122,13.367,-0.366
81387,-0.058,-0.008,-0.989,-0.061,13.977,-0.305
81411,-0.069,-0.034,-0.988,0.305,7.568,-0.122
81440,-0.063,-0.018,-0.987,0.854,-3.418,0.061
81492,-0.056,0.018,-1.000,0.793,-5.798,-0.183
81526,-0.056,0.007,-0.996,0.732,-3.113,-0.183
81555,-0.056,-0.012,-0.994,0.671,-3.540,-0.122
81583,-0.050,-0.016,-0.989,0.916,-11.841,0.000
81611,-0.043,-0.042,-0.988,1.709,-25.818,0.305
81639,-0.025,-0.019,-1.003,1.648,-22.949,0.427
81666,-0.020,0.025,-1.003,1.160,-18.921,0.244
81694,-0.007,0.033,-0.996,0.732,-20.630,0.183
81722,0.002,0.006,-0.989,0.916,-32.593,0.183
81747,0.025,-0.021,-0.998,1.343,-30.457,0.610
81782,0.035,0.008,-1.000,1.099,-21.484,0.427
81832,0.045,0.030,-0.997,0.732,-18.311,0.061
81861,0.069,-0.005,-0.998,0.488,-11.169,-0.061
81890,0.063,-0.012,-1.002,0.366,-1.282,-0.183
81919,0.063,0.011,-1.000,0.183,6.348,-0.122
81948,0.060,-0.010,-1.002,-0.061,17.944,-0.549
81973,0.047,-0.012,-0.995,-0.366,19.653,-0.305
82077,0.051,0.016,-0.991,1.282,-21.790,0.488
82133,0.087,0.016,-1.000,0.854,-19.592,0.183
82161,0.080,0.030,-1.001,0.610,-12.024,0.000
82191,0.089,0.017,-0.994,0.549,-7.690,-0.183
82219,0.094,-0.002,-0.993,0.732,-6.104,-0.305
82270,0.093,-0.003,-0.989,0.549,-9.583,-0.061
82299,0.113,-0.008,-0.993,0.732,-7.996,-0.122
82326,0.104,-0.002,-0.998,0.305,2.991,-0.183
82355,0.101,0.003,-0.997,0.183,13.306,-0.305
82389,0.092,-0.000,-0.997,0.000,23.560,-0.793
