ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
13510,0.040,0.054,1.006,0.366,0.061,0.000
13538,0.039,0.055,1.008,0.488,-0.061,-0.061
13566,0.040,0.053,1.006,0.427,0.061,-0.122
13595,0.040,0.052,1.005,0.549,0.000,-0.061
13623,0.040,0.051,1.006,0.366,0.000,-0.061
13652,0.040,0.053,1.005,0.366,0.122,-0.122
13679,0.039,0.054,1.008,0.427,0.000,-0.122
13706,0.038,0.055,1.007,0.549,0.122,0.000
13735,0.039,0.053,1.007,0.488,-0.061,-0.061
13763,0.039,0.053,1.007,0.549,0.000,-0.061
13791,0.040,0.052,1.005,0.488,0.061,-0.061
13841,0.040,0.054,1.006,0.427,0.061,-0.061
13869,0.039,0.053,1.006,0.549,0.061,-0.061
13896,0.037,0.053,1.006,0.488,0.061,-0.061
13924,0.038,0.053,1.009,0.366,0.122,-0.122
13949,0.039,0.056,1.012,0.671,0.000,-0.122
13975,0.040,0.068,1.014,1.587,-0.061,-0.122
14003,0.041,0.069,1.009,1.892,-0.122,-0.183
14027,0.040,0.054,1.001,1.892,-0.122,-0.122
14055,0.038,0.042,1.007,1.526,0.000,-0.122
14081,0.038,0.044,1.005,1.465,-0.061,0.000
14108,0.039,0.047,1.000,0.793,0.000,0.000
14134,0.040,0.043,1.008,0.610,0.061,-0.183
14189,0.042,0.046,1.005,0.305,0.061,0.000
14216,0.042,0.048,1.005,0.122,0.061,-0.183
14245,0.038,0.055,1.009,0.122,0.000,-0.061
14271,0.037,0.060,1.007,0.488,0.000,0.000
14298,0.038,0.058,1.008,0.671,0.061,-0.061
14327,0.040,0.052,1.007,0.854,-0.061,-0.061
14355,0.041,0.047,1.005,0.793,0.061,-0.061
14383,0.040,0.046,1.004,0.610,0.061,-0.061
14411,0.039,0.048,1.006,0.488,0.061,-0.122
14438,0.037,0.049,1.006,0.427,0.000,0.000
14465,0.037,0.049,1.006,0.366,0.000,-0.061
14492,0.037,0.051,1.007,0.183,0.061,-0.122
14545,0.043,0.056,1.008,0.488,0.061,-0.061
14572,0.042,0.053,1.009,0.610,0.061,-0.061
14598,0.041,0.051,1.006,0.793,0.000,0.000
14626,0.038,0.047,1.005,0.671,0.000,-0.061
14653,0.037,0.047,1.007,0.610,0.061,-0.061
14680,0.036,0.047,1.005,0.427,0.061,-0.122
14707,0.039,0.048,1.006,0.244,0.000,0.000
14735,0.041,0.051,1.006,0.244,0.061,-0.122
14759,0.040,0.052,1.008,0.244,0.061,-0.061
14786,0.039,0.053,1.007,0.427,0.000,-0.122
